backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,full,-7.707094192504883,0.0,5,0,0.0,True,3,0,30902
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,no_slip,-7.707094192504883,0.0,5,0,0.0,True,3,0,26587
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,no_forbid,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,42830
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,no_termination,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,43726
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,full,-7.967422485351563,0.0,5,0,0.0,True,4,3,30780
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,no_slip,-7.8788909912109375,0.088531494140625,5,0,0.0,True,5,3,26903
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,no_forbid,-8.408592224121094,-0.4411697387695312,5,0,0.0,True,5,2,45745
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,no_termination,-7.967422485351563,0.0,5,0,0.0,True,4,2,45308
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,28819
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,no_slip,-7.1137542724609375,0.1142578125,5,0,0.0,True,4,2,26802
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,1,27940
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,2,42800
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,full,-6.176261901855469,0.0,5,0,0.0,True,5,0,29392
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,no_slip,-6.1764984130859375,-0.0002365112304687,5,0,0.0,True,5,0,27414
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,no_forbid,-6.176292419433594,-3.0517578125e-05,5,0,0.0,True,5,0,27191
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,no_termination,-6.2310638427734375,-0.0548019409179687,5,0,0.0,True,5,0,44185
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,full,-10.606913566589355,0.0,5,0,0.0,True,4,0,30362
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,no_slip,-10.643351554870604,-0.03643798828125,5,0,0.0,True,5,0,27183
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,no_forbid,-10.643351554870604,-0.03643798828125,5,0,0.0,True,5,0,29659
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,no_termination,-10.643351554870604,-0.03643798828125,5,0,0.0,True,5,0,45056
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,full,-4.980229139328003,0.0,5,0,0.0,True,2,0,27766
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,no_slip,-4.743168592453003,0.237060546875,4,0,0.0,True,2,0,24347
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,no_forbid,-4.743168592453003,0.237060546875,3,0,0.0,True,2,0,20451
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,no_termination,-4.980229139328003,0.0,5,0,0.0,True,2,0,40204
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,full,-11.654657363891602,0.0,4,0,0.0,True,4,0,28954
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,no_slip,-11.654779434204102,-0.0001220703125,4,0,0.0,True,4,0,26543
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,no_forbid,-11.654779434204102,-0.0001220703125,4,0,0.0,True,4,0,28779
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,no_termination,-11.654535293579102,0.0001220703125,5,1,0.2,True,4,0,41321
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,full,-3.3380630016326904,0.0,3,0,0.0,True,3,0,21288
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,no_slip,-3.3380630016326904,0.0,3,0,0.0,True,3,0,19416
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,no_forbid,-3.338047742843628,1.52587890625e-05,3,0,0.0,True,3,0,20921
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,no_termination,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,4,0,41051
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,001,one_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,7015
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,002,one_shot,-2.735858917236328,0.648658752441,1,0,0.0,True,1,0,7506
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,003,one_shot,-14.256022453308104,0.293518066406,1,0,0.0,True,1,0,7155
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,004,one_shot,-9.077598571777344,1.28387451172,1,0,0.0,True,0,0,7142
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,one_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,8210
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,one_shot,,,1,0,0.0,False,1,1,7395
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,one_shot,,,1,0,0.0,False,1,1,7017
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,one_shot,-6.2310638427734375,-0.054801940918,1,0,0.0,True,1,0,8318
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,one_shot,-9.957316398620604,0.649597167969,1,0,0.0,True,1,0,7008
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,one_shot,-4.743199110031128,0.237030029297,1,0,0.0,True,1,0,6850
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,one_shot,-6.983524322509766,4.67113304138,1,0,0.0,True,1,0,8000
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,one_shot,-3.5041396617889404,-0.166076660156,1,0,0.0,True,1,0,7013
